hand,score
22226789,667
22227789,661
22226689,657
22225555,653
22225589,641
22225789,639
22225689,637
22224789,634
22224444,633
22224689,632
22224489,631
22223789,629
22223689,627
22224589,624
22223389,621
22223589,619
22226677,619
22226779,619
22226679,617
22223489,614
12222789,614
22226778,614
22223333,613
12222689,612
22226678,612
12222589,604
22225559,603
12222489,599
22225677,599
22225558,598
22225679,597
22225667,597
22224677,594
12222389,594
22225557,593
22225678,592
22224667,592
22224679,592
11222289,591
22225556,591
22225779,591
22225567,589
22223677,589
22224449,588
22225669,587
22223667,587
22224678,587
22223679,587
22224779,586
22225778,586
22224448,583
22225577,583
22225668,582
22224669,582
22223678,582
22223779,581
22225579,581
22224778,581
22225569,579
22225566,579
22224467,579
22224447,578
11112222,578
22224555,578
22224668,577
22223669,577
22225578,576
22223778,576
22224446,576
12222677,574
22225568,574
22223339,573
22224477,573
22223555,573
12222679,572
22223668,572
22224567,572
12222667,572
22224479,571
22223367,569
22224466,569
22224469,569
22224445,568
22223338,568
22223567,567
12222678,567
22224559,566
12222779,566
22224577,566
22224478,566
22224579,564
22224468,564
22223337,563
22223377,563
22223467,562
22224566,562
12222669,562
22224569,562
22224558,561
12222778,561
22223379,561
22223336,561
22223559,561
22224459,561
22223577,561
22223579,559
22224578,559
22223366,559
22223369,559
12222555,558
22223444,558
12222668,557
22223569,557
22224568,557
22223566,557
22223378,556
22223558,556
22224458,556
22223477,556
22224557,556
22223578,554
22223368,554
22223479,554
22224556,554
22223335,553
22224455,553
22223466,552
22223469,552
22223568,552
12222567,552
22223359,551
22223557,551
22224457,551
22223449,551
22223478,549
22224456,549
22223556,549
22223334,548
22223468,547
12222467,547
22223349,546
22223448,546
12222559,546
22223358,546
12222577,546
12222579,544
22223459,544
12222444,543
22223355,543
12222566,542
12222367,542
12222569,542
12222558,541
22223447,541
12222477,541
22223357,541
22223348,541
12222578,539
12222479,539
11222267,539
22223458,539
22223446,539
22223356,539
12222466,537
12222568,537
12222469,537
12222449,536
12222377,536
22223455,536
22223347,536
12222557,536
22223457,534
12222379,534
22223346,534
12222556,534
12222478,534
22223344,533
11222277,533
22223456,532
12222369,532
12222468,532
12222366,532
12222448,531
11222279,531
22223445,531
12222378,529
11222269,529
11222266,529
12222459,529
12222333,528
11122229,528
12222368,527
12222339,526
11222278,526
22223345,526
12222447,526
12222359,524
12222458,524
11222268,524
12222446,524
11122228,523
12222338,521
11222259,521
12222455,521
12222358,519
12222457,519
12222349,519
11122227,518
12222456,517
11122226,516
12222355,516
12222445,516
12222337,516
11222258,516
11222249,516
12222336,514
12222357,514
12222348,514
11222255,513
12222356,512
11222248,511
11222239,511
11222257,511
11222256,509
12222347,509
11122225,508
12222346,507
11222247,506
12222335,506
12222344,506
11222238,506
22267789,504
11222246,504
11122224,503
11222244,503
22266789,502
12222334,501
11222237,501
12222345,499
11222236,499
11122223,498
11222245,496
11222233,493
11222235,491
22255589,488
22255559,488
11222234,486
22255558,483
22256789,482
55556789,482
22255557,478
22246789,477
55557789,476
22257789,476
22255556,476
22244489,473
22256689,472
55556689,472
22236789,472
22555589,471
22247789,471
22244449,468
22246689,467
22255789,466
22237789,466
22255689,464
22245555,463
22244448,463
22236689,462
44446789,462
22244447,458
22233389,458
22235555,458
12226789,457
22244446,456
22244789,456
44447789,456
22244689,454
22266779,454
44446689,452
22245589,451
22444489,451
12227789,451
45555789,449
22266778,449
22245789,449
25555789,449
22233339,448
22244445,448
44445555,448
12226689,447
25555689,447
45555689,447
22245689,447
22233789,446
22235589,446
22244589,446
44555589,446
22233689,444
22235789,444
35555789,444
22233338,443
12225555,443
33336789,442
22235689,442
35555689,442
22234789,439
22233337,438
22234444,438
22667789,437
22234689,437
22255567,436
22233336,436
22233589,436
22234489,436
44445589,436
33555589,436
33337789,436
55556677,434
55556779,434
24555589,434
22256677,434
55567789,434
22256779,434
44445789,434
22256679,432
55566789,432
55556679,432
33336689,432
44445689,432
12225589,431
22333389,431
22233489,431
22255577,430
22246779,429
22256778,429
23555589,429
34555589,429
22246677,429
15555789,429
55556778,429
22234589,429
24444789,429
12225789,429
33335555,428
22233335,428
22255579,428
22246679,427
12225689,427
22256678,427
55556678,427
15555689,427
24444689,427
22255566,426
22255677,426
22255569,426
22236779,424
22236677,424
12224789,424
34444789,424
22255679,424
22255667,424
22246778,424
12224444,423
22233334,423
22255578,423
12224689,422
22236679,422
22246678,422
55667789,422
34444689,422
12224489,421
22244467,421
22255568,421
22255678,419
22555567,419
12223789,419
44467789,419
22236778,419
24444589,419
22255779,418
44466789,417
22567789,417
22236678,417
12223689,417
33335589,416
11222789,416
22244677,416
33444489,416
22566789,415
22244477,415
44446779,414
22244667,414
11222689,414
33335789,414
44446677,414
12555589,414
22244679,414
22255669,414
14555589,414
12224589,414
34444589,414
22555577,413
22255778,413
22245559,413
22244479,413
11112229,413
11122289,413
44446679,412
22467789,412
33335689,412
44667789,412
22244466,411
12223389,411
22244469,411
22555579,411
22555789,411
22466789,410
33334789,409
12226677,409
22555689,409
14444789,409
13555589,409
23444489,409
25555677,409
22255668,409
23333789,409
22245677,409
12226779,409
22555569,409
12223589,409
44446778,409
22555566,409
45555677,409
22244678,409
22245558,408
22244779,408
22235559,408
33334444,408
22244478,408
11112228,408
33334689,407
14444689,407
11116789,407
23333689,407
45555667,407
22556789,407
25556789,407
45556789,407
12226679,407
25555667,407
